date,MRNA,OCGN,TNXP,BNTX,ARCT,BCYC,VTVT,OGEN,PFE,TBIO,BIO,IBIO,ACRX,SNY,TXG,REGN,PTCT,NVAX,TRVN,WST,ATRS,ONCT,NVLN,ARQL,OHGI,AMPE,SAVA,CRMD,HSTO,LTHM,ASND,VIVE,EVOK,SLS,ADXS,GHSI,AVGR,SINT,TSLA,LEU,NXE,QMCO,VMW,EBAY,BYND,CCJ,ZBRA,TDY,DELL,FB,MSFT,AMZN,AMD,GOOG,URG,TEAM,FSLY,EB,SPOT,MELI,CE,AAPL,TTD,DNN,PINS,UUUU,WORK,FIVE,NVTA,CLDR,NFLX,NIO,SHOP,MDB,DOCU,ZM,URNM,LIT,QMOM,VEA,ARKF,VTI,XSW,IGM,XLK
2021-03-19,143.74,8.92,1.45,107.59,46.4,26.0,2.86,0.9691,35.53,16.45,568.93,1.72,1.74,49.92,177.76,473.7,56.18,228.25,2.06,277.15,4.34,9.0,,,0.0626,1.76,57.77,9.95,1.46,18.05,144.5,3.42,2.27,10.62,0.8435,2.62,1.72,2.08,654.87,27.76,3.77,8.91,145.98,59.73,139.39,17.77,459.95,386.39,87.63,290.11,230.35,3074.96,79.06,2043.2,1.24,219.09,70.8,24.4,272.11,1448.89,147.64,119.99,733.21,1.11,73.01,6.52,40.8,196.63,41.37,12.57,512.18,43.35,1120.95,302.68,205.67,326.26,60.11,59.52,53.6,49.74,53.25,205.26,159.88,355.15,129.6
2021-03-18,141.46,8.9,1.37,103.65,48.34,26.78,2.81,0.9975,35.77,17.76,570.05,1.7,1.79,49.11,168.51,474.68,55.51,217.26,1.97,268.95,4.26,8.36,,,0.067,1.82,56.25,9.59,1.34,17.5,142.84,3.9,2.34,10.54,0.838,2.59,1.62,1.97,653.16,26.49,3.99,8.82,146.92,58.9,133.72,17.83,461.11,393.35,88.11,278.62,230.72,3027.99,78.12,2036.22,1.22,219.28,70.33,24.0,271.73,1436.17,148.67,120.53,700.1,1.12,69.39,6.57,40.53,187.27,39.67,12.17,504.79,41.63,1117.1,301.34,204.8,316.32,60.74,59.47,52.03,49.57,52.41,205.0,158.01,353.68,129.99
2021-03-17,147.55,9.55,1.5,106.66,51.36,28.22,2.88,1.05,35.79,25.7,566.44,1.74,1.9,49.12,170.19,496.01,55.75,225.46,2.05,274.59,4.37,8.98,,,0.063,1.82,62.52,9.63,1.37,18.92,144.0,3.75,2.38,11.71,0.8719,2.72,1.72,2.09,701.81,25.54,4.12,9.45,149.85,59.0,139.19,19.28,473.28,392.76,91.28,284.01,237.04,3135.73,82.63,2091.08,1.3,234.0,75.29,24.12,283.35,1537.62,146.55,124.76,771.51,1.18,74.95,7.14,40.68,196.01,42.8,12.79,524.44,44.76,1169.17,316.19,213.34,336.65,62.49,61.06,55.5499,50.05,55.42,208.8,163.7979,364.91,133.7
2021-03-16,156.02,9.13,1.27,108.1,51.76,27.9,2.89,1.01,35.83,25.02,560.84,1.76,1.86,49.4,168.77,482.17,57.7,222.23,2.09,274.17,4.34,8.35,,,0.059,1.8,52.16,9.27,1.4,18.17,147.0,3.51,2.41,10.42,0.84,2.71,1.6,2.02,676.88,25.94,3.96,8.73,147.85,57.42,139.17,18.7,473.9,391.49,89.08,279.28,237.71,3091.86,82.75,2092.52,1.28,235.89,74.16,24.75,284.69,1550.49,143.7,125.57,768.92,1.17,73.79,7.05,40.79,193.46,41.59,12.7,524.03,43.68,1143.17,318.83,211.18,335.08,62.67,60.03,54.95,49.79,54.95,208.01,163.03,363.94,133.81
2021-03-15,143.66,9.9,1.31,107.88,52.19,28.47,2.77,1.04,35.41,25.24,569.55,1.82,2.18,48.71,169.5,483.94,58.07,217.46,2.11,276.02,4.37,8.62,,,0.05,1.81,52.71,9.27,1.44,18.69,147.0,3.48,2.41,11.05,0.9194,2.64,1.7,2.17,707.94,26.4,3.79,9.07,149.43,57.67,148.11,18.62,478.11,399.14,89.3,273.75,234.81,3081.68,82.5,2066.49,1.3,236.62,76.56,25.81,285.46,1581.32,145.91,123.99,758.26,1.3,72.79,7.18,40.65,197.9,42.94,13.05,520.25,44.93,1159.0,323.3,220.08,350.0,60.13,60.62,56.2494,49.71,55.19,208.85,165.4173,362.06,132.81
2021-03-12,136.99,10.0,1.27,103.28,49.48,27.88,2.7,1.05,34.94,24.6,559.98,1.83,2.22,48.01,160.02,471.46,58.45,202.77,2.16,274.12,4.54,7.57,,,0.04277,1.86,53.44,9.31,1.35,19.37,149.25,3.53,2.45,10.26,0.8685,2.84,1.71,2.24,693.73,24.99,3.64,9.06,148.16,55.8,142.45,17.24,472.85,395.04,88.82,268.4,235.75,3089.49,81.05,2061.92,1.17,229.26,75.16,24.46,279.89,1550.15,148.0,121.03,751.22,1.14,71.75,5.92,40.77,190.8,42.7,12.76,518.02,45.5,1140.63,320.06,210.34,346.39,57.0,60.91,55.23,49.59,54.27,207.4,164.18,358.32,131.41
2021-03-11,140.47,9.6,1.2,102.6,50.87,27.0,2.65,1.08,34.71,24.08,568.9,1.78,2.16,47.84,164.63,469.96,57.23,187.63,2.11,272.89,4.41,6.37,,,0.0509,1.76,54.29,9.51,1.42,19.17,150.0,3.56,3.1,9.84,0.8212,2.89,1.76,2.22,699.6,24.9,3.51,8.95,147.54,56.24,142.81,16.51,480.75,390.86,88.62,273.88,237.13,3113.59,81.23,2114.77,1.14,235.8,75.44,24.58,286.96,1570.78,147.0,121.96,756.5,1.04,71.88,5.73,41.1,191.69,42.92,12.88,523.06,46.03,1142.24,327.26,225.22,355.17,55.69,62.11,56.14,49.47,54.95,206.99,164.9645,361.629,132.36
2021-03-10,129.75,8.11,1.14,98.02,48.17,27.35,2.49,1.06,34.93,23.19,559.22,1.66,1.93,47.95,151.58,467.95,56.55,172.5,1.93,267.73,4.19,5.77,,,0.0432,1.59,51.6,8.23,1.23,18.18,143.99,3.18,2.9,8.97,0.8,2.51,1.61,2.27,668.06,24.1,3.23,8.67,145.84,55.34,138.61,16.1,470.51,390.19,87.68,264.9,232.42,3057.64,77.52,2055.03,1.05,225.69,68.99,22.87,270.19,1435.57,147.56,119.98,722.61,0.9856,68.97,5.24,40.71,183.38,38.66,14.73,504.54,41.32,1087.9,294.45,212.67,336.03,53.455,58.67,52.71,49.11,51.68,204.32,159.53,352.35,129.59
2021-03-09,130.87,8.78,1.15,96.48,48.39,25.42,2.47,1.25,34.45,23.82,561.94,1.62,1.96,47.17,150.61,470.63,59.16,169.9,2.05,267.42,4.17,5.6,,,0.0379,1.6,52.05,7.69,1.25,16.98,145.07,3.17,2.87,8.59,0.8401,2.62,1.54,2.87,673.58,23.64,3.27,8.9,144.38,56.17,139.58,15.75,468.35,383.89,86.49,265.74,233.78,3062.85,78.53,2052.7,1.08,233.05,69.0,22.84,273.58,1452.01,145.36,121.085,719.32,1.03,67.48,5.13,40.7,182.72,38.84,14.49,506.44,41.35,1130.74,311.92,213.22,342.11,54.34,58.23,52.4,48.9,51.94,202.87,158.58,353.46,130.11
2021-03-08,123.47,8.63,1.02,90.29,42.96,22.85,2.35,0.84475,34.35,21.75,554.11,1.45,1.77,46.59,141.09,463.19,58.41,157.87,2.05,261.35,4.01,5.4,,,0.03,1.47,45.02,6.85,1.15,16.1,141.26,2.91,2.78,9.08,0.6686,2.47,1.43,1.81,563.0,22.8,3.12,8.47,143.63,53.49,135.3,15.43,460.64,390.13,85.11,255.31,227.39,2951.95,73.96,2024.17,1.04,223.42,62.05,21.45,258.33,1369.54,150.1,116.36,678.94,0.9711,62.49,4.9,40.03,186.43,34.76,13.96,493.33,35.21,1072.43,287.05,192.84,310.93,52.4,55.56,47.54,48.28,48.23,199.77,151.72,341.31,125.83
